allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,0,14,0,0,0,2,17476,17,1,Annie,0,2,2674,12334,2674,16458,0,5,0,0,0,0,1,False,False,False,False,False,False,0,13775,12500,0,0,0,0,4630,3157,3020,3116,1026,6653,3340,18,4,11,120,4,1,372,118320,25191,6103,0,2,0,0,1,0,0,22,0,9781,614,12569,1,0,0,447,False,MIDDLE,37,1825,2,132181,27481,2348,19307,0,3518,0,176,365,165,1,0,4079,1676,633,1,3,4,0,15,0,0,8,True
1,6,8,0,0,0,9,17090,17,24,Jax,3,2,7970,13204,7970,16741,0,3,0,0,0,3,0,False,False,False,False,False,False,0,15008,14100,0,1,1,0,3047,3157,3161,3110,6632,0,3340,23,2,12,0,9,1,860,49318,7728,6735,0,8,1,0,1,0,0,12,0,87222,10584,12821,0,0,0,450,False,TOP,24,1825,0,139220,18570,0,20312,8,5980,0,168,432,76,1,0,2678,258,754,4,5,4,0,15,0,2,9,True
0,3,12,0,0,0,0,15090,16,21,MissFortune,5,1,4709,27260,4709,11278,0,7,0,3,1,6,1,False,False,False,True,False,False,0,17124,16910,0,0,1,0,3036,6676,3026,3006,6691,6672,3363,23,4,17,4452,7,2,460,4729,2125,6906,0,6,0,0,0,0,0,20,0,166192,28903,14562,0,0,0,222,False,BOTTOM,10,1825,2,178224,31165,0,21966,0,5850,0,207,155,174,1,0,7301,135,497,2,4,4,0,16,0,3,9,True
2,2,25,1,0,0,0,12958,14,89,Leona,20,4,5406,11410,5406,45746,0,3,2,0,0,10,0,False,False,True,False,False,False,1,10074,8650,0,0,0,0,3860,3190,3075,3111,3082,1011,3364,21,0,1,52,0,1,770,19511,5519,7027,0,0,0,0,0,0,0,32,0,13208,2431,18118,0,0,0,272,False,UTILITY,46,1825,0,44972,8652,1079,25439,0,6804,0,40,89,67,1,0,12252,702,294,1,3,4,0,52,2,3,21,True
0,14,9,0,1,0,1,15386,16,5,XinZhao,26,5,1096,28981,1096,22802,0,10,4,0,1,7,0,False,False,False,False,False,False,4,11709,9550,2,0,1,0,6676,3142,0,3047,3133,1033,3364,20,1,6,810,3,1,491,16564,1776,7985,0,134,0,0,0,0,0,28,0,159926,12551,26193,2,0,0,396,False,JUNGLE,19,1825,91,214657,14912,0,34547,18,15684,0,40,485,293,1,0,38166,584,368,1,1,4,0,19,4,3,5,True
0,0,7,0,0,0,0,10228,13,222,Jinx,2,3,2246,11745,2246,11475,0,10,0,1,0,3,2,True,False,False,False,False,False,0,11365,11600,0,0,0,1,6671,3006,6672,3085,0,0,3340,18,1,4,366,3,2,395,6288,3186,6215,1,0,0,1,0,0,0,2,0,116162,18795,15809,0,0,0,110,False,BOTTOM,20,1825,0,124421,21982,0,22464,0,2196,0,173,48,271,1,0,1970,0,439,1,1,9,0,19,0,2,10,False
2,3,3,0,0,0,0,15302,16,157,Yasuo,15,3,3418,7047,3418,22814,0,10,1,1,0,24,2,True,False,False,False,False,False,31,13825,13595,1,0,0,1,6671,1031,3133,3111,6672,3087,3363,30,2,10,559,4,4,293,61740,2598,10548,0,12,0,1,0,0,0,44,0,112818,14117,12716,0,1,0,248,False,MIDDLE,16,1825,4,175489,17645,0,24424,0,2833,0,194,69,329,1,1,930,930,1158,2,2,9,0,19,1,1,9,False
0,2,6,0,1,0,1,14218,15,131,Diana,8,6,1343,52932,1343,47216,0,10,4,0,2,2,0,False,False,False,False,False,False,7,14549,12950,0,0,0,1,3157,3020,3152,1082,3115,1058,3364,24,2,7,0,2,1,508,199263,18622,9789,0,167,0,1,0,0,0,17,0,35107,1879,22311,0,0,0,432,False,JUNGLE,10,1825,83,273080,21143,0,32825,46,7407,0,33,165,298,1,0,38709,640,724,0,1,9,0,34,4,5,5,False
0,0,11,1,0,0,0,9617,12,902,Milio,1,8,215,614,215,9240,0,9,6,0,0,4,0,True,False,False,False,False,False,0,7087,6500,0,0,0,1,3860,2065,3222,3158,0,0,3364,24,0,0,0,0,0,260,8245,3569,8083,0,0,0,1,0,0,0,1,0,5327,1612,11075,0,0,0,258,False,UTILITY,25,1825,0,17258,5181,6238,19511,0,8134,5217,33,191,209,5,0,3685,0,352,0,0,9,0,50,6,4,19,False
0,12,5,0,0,0,0,15612,16,126,Jayce,13,2,2836,7634,2836,17682,0,8,1,0,0,24,2,False,True,False,False,False,False,0,13537,13765,1,0,0,1,6694,3047,3142,3155,3042,1037,3364,20,1,7,0,3,1,571,19453,4264,9993,1,17,0,1,0,0,0,4,0,147164,20611,11950,0,0,0,286,False,TOP,12,1825,8,167681,25854,0,22625,0,1433,0,194,189,267,1,0,1063,978,680,1,1,9,0,37,1,5,8,False
2,2,7,0,0,0,0,16212,16,24,Jax,1,2,3792,8232,3792,29537,0,6,1,1,0,8,0,True,False,False,False,False,False,0,12818,12075,0,1,2,0,6632,3157,3111,3071,3155,0,3340,21,1,6,0,3,3,607,56920,11473,10618,0,12,1,0,1,0,0,14,0,82012,8346,18201,0,0,0,450,False,TOP,19,1927,6,146170,20294,0,29554,0,3981,0,192,145,239,1,1,7238,475,734,0,2,5,0,20,1,1,10,True
0,2,11,0,0,0,3,15717,16,62,MonkeyKing,12,1,6505,26811,6505,45639,0,7,0,1,2,5,1,False,True,False,False,False,False,0,17000,14700,0,0,2,0,3074,3071,3111,6632,3156,1036,3364,19,4,16,0,6,2,424,15072,4186,16999,0,125,0,0,1,0,0,17,0,142120,28666,18369,2,0,0,272,False,JUNGLE,30,1927,93,192422,34485,0,36570,8,14474,0,27,200,193,1,0,35229,1631,1201,4,5,5,0,17,0,6,1,True
